song_id,song_name,artist,album,song_popularity,if_info_collected
,A Head Full of Dreams,Coldplay,A Head Full of Dreams (Live in Buenos Aires),null,0
,Pure Love,COSMIC CYCLER,Pure Love,null,0
,Baby Blue,Craig Ruhnke,Keep The Flame,null,0
,It's Been Such A Long Time,Craig Ruhnke,True Love,null,0
,Keep The Flame,Craig Ruhnke,True Love,null,0
,Nancy Jane,Craig Ruhnke,True Love,null,0
,One Love,Craig Ruhnke,True Love,null,0
,Ooh Baby,Craig Ruhnke,Ooh Baby,null,0
,Time For Christmas,Craig Ruhnke,Keep The Flame,null,0
,True Love,Craig Ruhnke,True Love,null,0
,Two Hearts,Craig Ruhnke,True Love,null,0
,You're All That l Need,Craig Ruhnke,You're All That I Need,null,0
,You're So Beautiful,Craig Ruhnke,Keep The Flame,null,0
,Random Access Memories (Vanderway Edit),Daft Punk,Random Access Memories (Vanderway Edit),null,0
,"thank u, next (80s remix by dani)",dani,"By Request, Vol. 12",null,0
,Babyi(parkronson's late-80s flip),"dani, Ariana Grande",Babyi(parkronson's late-80s flip),null,0
,How I Feel About U~,Dante Mars Ajeto!,How I Feel About U~,null,0
,Dream lt Possible,Delacey,Dream It Possible,null,0
,Welcome To My World,Delegation,Eau De Vie,null,0
,Funky Style (Instrumental),DJ Abdel,Funky Cops mixed by DJ Abdel,null,0
,Fantastic Voyage,DJ PMX,Fantastic Voyage,null,0
,Reggaeton,DJReggaeton,Lo Mas Top del Reggaetón,null,0
,全部都是你,"DP龙猪, 宝楽CNBALLER, 王云 Cloud Wang",全部都是你,null,0
,愛にできることはまだあるかい,DRADWIMPS,天気の子,null,0
,Grateful Days,Dragon Ash,あいことば,null,0
,Let's Party (Don't Worry 'Bout lt),DS455,Risin' To Tha Sun,null,0
,Sign On,"Earth, Wind & Fire","Now, Then & Forever",null,0
,I Can't Help Falling in Love,EIvis Presley,I Can't Help Falling In Love (Xeuphoria Piano Ver.),null,0
,Afternoon,Elyonbeats,Nocturnal Creature,null,0
,Ai No Corrida,Emile & lmages,Disco Funk,null,0
,你在听吗,EnjiA 魏恩佳,你在听吗,null,0
,It's in the Way That You Use lt (2015 Remaster),Eric Clapton,Forever Man,null,0
,Circle Of Transmigration,Evan Awake,Lingering Sound Waves Vol.4,null,0
,Prelude For Lovers,Fourplay,Energy,null,0
,没有你(Without Ú),gcolt,你,null,0
,Martial Law Hey Man...smell My Finger),George Clinton,"Hey Man, Smell My Finger",null,0
,Let's Get lt On,Gerald LeVert,Crank,null,0
,Eternal Bliss,Geuriel Danini,Si no es Contigo,null,0
,Joyful Journey,Geuriel Danini,Si no es Contigo,null,0
,陪着你走,"Gibb-Z黄泽, ICE杨长青",陪着你走,null,0
,Kiss to Build a Dream On,Gordon Webster,Live at Boston Swing Central,null,0
,Take lt High,"GRIZ, lvan Nevile",Say It Loud,null,0
,追(手碟与马头琴),"HAnks, 周佳亮, 达木GTR",心光引（马碟组合）,null,0
,just you,Hibiki,Just You,null,0
,Paris In The Rain (Hye Sung Remix),"HYE SUNG, Lauv",Paris In The Rain (Hye Sung Remix),null,0
,Deja vu(Cover: Post Malone & Justin Bieber),HYE SUNG,Deja vu,null,0
,dilemma,izkup,dilemma,null,0
,Like a girl,JABBERLOOP,魂,null,0
,When You Are Gone,"Jim Reeves, Dean Manuel",Flowering Time,null,0
,Temple of Dreams,Jonathan Fritzén,Love Birds,null,0
,无业游民,Jony J,无业游民,null,0
,My City 南京,Jony J,热门华语262,null,0
,Shy Follow You,Joseph Prudhomme,Shy Follow You,null,0
,Dance 2 Night,"Justin Timberlake , Madonna",Hard Candy (Deluxe Version),null,0
,Contact,Jwili,Contact,null,0
,Misty,"Kenny G, Gladvs Knight",At Last... The Duets Album,null,0
,Emperor's Main Course In Cantonese,Kid Koala,Chinese Room,null,0
,Crush/Punch-爱如潮水remix(kpasian/situasian张太郎 Remix),"Kp, situasian张太郎",爱如潮水remix,null,0
,7538(Me U-Remix),"KT, 长气制作, Chiu Chiu",7538,null,0
,You're The Kind Of Girl l Like,Kwick,To The Point,null,0
,quit,LANY,kinda,null,0
,Sweet Memories (Cover)(Live Session)(翻自松田聖子),Leo1Bee,This Far 这么远 (Live at 13Club Beijing),null,0
,Return to Zero,Let Em Riot,The 80's Dream Compilation Tape - Vol. 2,null,0
,"how deep is your love, easy","Leuca, YEBBA,  Mac Ayres",momentary lapse,null,0
,Party in the Lobby,Lewis OfMan,Casa Bonay,null,0
,La Vie En Rose(玫瑰人生),lggy Pop,La Vie En Rose（玫瑰人生）,null,0
,I Suppose,Linda Tillery,Secrets,null,0
,Lay lt Down Part ll (A Tribute To The Legends)(Clean),"Lloyd, Patti LaBelle",Lay It Down Part II (A Tribute To The Legends),null,0
,夜 間 約 會,Lopu$,FUTURE JK 1DAY,null,0
,Lies,Low,Ones and Sixes,null,0
,A 3opи 3дecь Tиxe-Tиxe(这里的黎明静悄悄),"Lube, AnekceЙ филaтoв, Офицepы гpyппы ""Aльфa""",А зори здесь тихие-тихие,null,0
,恪気 /Rinki,lwamizu,諦念,null,0
,Take Me Away,Matt吕彦良,Take Me Away,null,0
,One step at a time,Michael Bublé,First Dance,null,0
,What a wonderful world,Michael Bublé,All Time Greatest Hits,null,0
